Unicode,Caractere,Nome,Origem
U+006D,m,LATIN SMALL LETTER M,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+006E,n,LATIN SMALL LETTER N,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+006F,o,LATIN SMALL LETTER O,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0070,p,LATIN SMALL LETTER P,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0071,q,LATIN SMALL LETTER Q,DejaVu Serif: base vetorial licenciada
U+0072,r,LATIN SMALL LETTER R,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0073,s,LATIN SMALL LETTER S,DejaVu Serif: base vetorial licenciada
U+0074,t,LATIN SMALL LETTER T,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0075,u,LATIN SMALL LETTER U,DejaVu Serif: base vetorial licenciada
U+0076,v,LATIN SMALL LETTER V,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0077,w,LATIN SMALL LETTER W,DejaVu Serif: base vetorial licenciada
U+0078,x,LATIN SMALL LETTER X,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0079,y,LATIN SMALL LETTER Y,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+007A,z,LATIN SMALL LETTER Z,DejaVu Serif: base vetorial licenciada
U+007B,{,LEFT CURLY BRACKET,DejaVu Serif: base vetorial licenciada
U+007C,|,VERTICAL LINE,DejaVu Serif: base vetorial licenciada
U+007D,},RIGHT CURLY BRACKET,DejaVu Serif: base vetorial licenciada
U+007E,~,TILDE,DejaVu Serif: base vetorial licenciada
U+00A0, ,NO-BREAK SPACE,DejaVu Serif: base vetorial licenciada
U+00A1,¡,INVERTED EXCLAMATION MARK,DejaVu Serif: base vetorial licenciada
U+00A2,¢,CENT SIGN,DejaVu Serif: base vetorial licenciada
U+00A3,£,POUND SIGN,DejaVu Serif: base vetorial licenciada
U+00A4,¤,CURRENCY SIGN,DejaVu Serif: base vetorial licenciada
U+00A5,¥,YEN SIGN,DejaVu Serif: base vetorial licenciada
U+00A6,¦,BROKEN BAR,DejaVu Serif: base vetorial licenciada
U+00A7,§,SECTION SIGN,DejaVu Serif: base vetorial licenciada
U+00A8,¨,DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00A9,©,COPYRIGHT SIGN,DejaVu Serif: base vetorial licenciada
U+00AA,ª,FEMININE ORDINAL INDICATOR,DejaVu Serif: base vetorial licenciada
U+00AB,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,DejaVu Serif: base vetorial licenciada
U+00AC,¬,NOT SIGN,DejaVu Serif: base vetorial licenciada
U+00AD,­,SOFT HYPHEN,DejaVu Serif: base vetorial licenciada
U+00AE,®,REGISTERED SIGN,DejaVu Serif: base vetorial licenciada
U+00AF,¯,MACRON,DejaVu Serif: base vetorial licenciada
U+00B0,°,DEGREE SIGN,DejaVu Serif: base vetorial licenciada
U+00B1,±,PLUS-MINUS SIGN,DejaVu Serif: base vetorial licenciada
U+00B2,²,SUPERSCRIPT TWO,DejaVu Serif: base vetorial licenciada
U+00B3,³,SUPERSCRIPT THREE,DejaVu Serif: base vetorial licenciada
U+00B4,´,ACUTE ACCENT,DejaVu Serif: base vetorial licenciada
U+00B5,µ,MICRO SIGN,DejaVu Serif: base vetorial licenciada
U+00B6,¶,PILCROW SIGN,DejaVu Serif: base vetorial licenciada
U+00B7,·,MIDDLE DOT,DejaVu Serif: base vetorial licenciada
U+00B8,¸,CEDILLA,DejaVu Serif: base vetorial licenciada
U+00B9,¹,SUPERSCRIPT ONE,DejaVu Serif: base vetorial licenciada
U+00BA,º,MASCULINE ORDINAL INDICATOR,DejaVu Serif: base vetorial licenciada
U+00BB,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,DejaVu Serif: base vetorial licenciada
U+00BC,¼,VULGAR FRACTION ONE QUARTER,DejaVu Serif: base vetorial licenciada
U+00BD,½,VULGAR FRACTION ONE HALF,DejaVu Serif: base vetorial licenciada
U+00BE,¾,VULGAR FRACTION THREE QUARTERS,DejaVu Serif: base vetorial licenciada
U+00BF,¿,INVERTED QUESTION MARK,DejaVu Serif: base vetorial licenciada
U+00C0,À,LATIN CAPITAL LETTER A WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00C1,Á,LATIN CAPITAL LETTER A WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00C2,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00C3,Ã,LATIN CAPITAL LETTER A WITH TILDE,DejaVu Serif: base vetorial licenciada
U+00C4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00C5,Å,LATIN CAPITAL LETTER A WITH RING ABOVE,DejaVu Serif: base vetorial licenciada
U+00C6,Æ,LATIN CAPITAL LETTER AE,DejaVu Serif: base vetorial licenciada
U+00C7,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,DejaVu Serif: base vetorial licenciada
