Unicode,Caractere,Nome,Origem
U+0100,Ā,LATIN CAPITAL LETTER A WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0102,Ă,LATIN CAPITAL LETTER A WITH BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0104,Ą,LATIN CAPITAL LETTER A WITH OGONEK,Composição Unicode com base ornamental e sinais da base DejaVu
U+0106,Ć,LATIN CAPITAL LETTER C WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0108,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+010A,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+010C,Č,LATIN CAPITAL LETTER C WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+010E,Ď,LATIN CAPITAL LETTER D WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0110,Đ,LATIN CAPITAL LETTER D WITH STROKE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0112,Ē,LATIN CAPITAL LETTER E WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0114,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0116,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0118,Ę,LATIN CAPITAL LETTER E WITH OGONEK,Composição Unicode com base ornamental e sinais da base DejaVu
U+011A,Ě,LATIN CAPITAL LETTER E WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+011C,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+011E,Ğ,LATIN CAPITAL LETTER G WITH BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,Composição Unicode com base ornamental e sinais da base DejaVu
U+012A,Ī,LATIN CAPITAL LETTER I WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+012C,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+012E,Į,LATIN CAPITAL LETTER I WITH OGONEK,Composição Unicode com base ornamental e sinais da base DejaVu
U+0130,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0132,Ĳ,LATIN CAPITAL LIGATURE IJ,Composição Unicode com base ornamental e sinais da base DejaVu
U+0134,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+0136,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+0139,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+013B,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+013D,Ľ,LATIN CAPITAL LETTER L WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+013F,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT,Composição Unicode com base ornamental e sinais da base DejaVu
U+0141,Ł,LATIN CAPITAL LETTER L WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0143,Ń,LATIN CAPITAL LETTER N WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0145,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+0147,Ň,LATIN CAPITAL LETTER N WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+014A,Ŋ,LATIN CAPITAL LETTER ENG,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+014C,Ō,LATIN CAPITAL LETTER O WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+014E,Ŏ,LATIN CAPITAL LETTER O WITH BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0150,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0152,Œ,LATIN CAPITAL LIGATURE OE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0154,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0156,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+0158,Ř,LATIN CAPITAL LETTER R WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+015A,Ś,LATIN CAPITAL LETTER S WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+015C,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+015E,Ş,LATIN CAPITAL LETTER S WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+0160,Š,LATIN CAPITAL LETTER S WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0162,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+0164,Ť,LATIN CAPITAL LETTER T WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0166,Ŧ,LATIN CAPITAL LETTER T WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0168,Ũ,LATIN CAPITAL LETTER U WITH TILDE,Composição Unicode com base ornamental e sinais da base DejaVu
U+016A,Ū,LATIN CAPITAL LETTER U WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+016C,Ŭ,LATIN CAPITAL LETTER U WITH BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+016E,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0170,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0172,Ų,LATIN CAPITAL LETTER U WITH OGONEK,Composição Unicode com base ornamental e sinais da base DejaVu
U+0174,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+0176,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+0178,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS,Composição Unicode com base ornamental e sinais da base DejaVu
U+0179,Ź,LATIN CAPITAL LETTER Z WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+017B,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+017D,Ž,LATIN CAPITAL LETTER Z WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0181,Ɓ,LATIN CAPITAL LETTER B WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0182,Ƃ,LATIN CAPITAL LETTER B WITH TOPBAR,Composição Unicode com base ornamental e sinais da base DejaVu
U+0184,Ƅ,LATIN CAPITAL LETTER TONE SIX,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0186,Ɔ,LATIN CAPITAL LETTER OPEN O,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0187,Ƈ,LATIN CAPITAL LETTER C WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0189,Ɖ,LATIN CAPITAL LETTER AFRICAN D,Composição Unicode com base ornamental e sinais da base DejaVu
U+018A,Ɗ,LATIN CAPITAL LETTER D WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+018B,Ƌ,LATIN CAPITAL LETTER D WITH TOPBAR,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+018E,Ǝ,LATIN CAPITAL LETTER REVERSED E,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+018F,Ə,LATIN CAPITAL LETTER SCHWA,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0190,Ɛ,LATIN CAPITAL LETTER OPEN E,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0191,Ƒ,LATIN CAPITAL LETTER F WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0193,Ɠ,LATIN CAPITAL LETTER G WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0194,Ɣ,LATIN CAPITAL LETTER GAMMA,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0196,Ɩ,LATIN CAPITAL LETTER IOTA,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0197,Ɨ,LATIN CAPITAL LETTER I WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0198,Ƙ,LATIN CAPITAL LETTER K WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+019C,Ɯ,LATIN CAPITAL LETTER TURNED M,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+019D,Ɲ,LATIN CAPITAL LETTER N WITH LEFT HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+019F,Ɵ,LATIN CAPITAL LETTER O WITH MIDDLE TILDE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01A0,Ơ,LATIN CAPITAL LETTER O WITH HORN,Composição Unicode com base ornamental e sinais da base DejaVu
U+01A2,Ƣ,LATIN CAPITAL LETTER OI,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01A4,Ƥ,LATIN CAPITAL LETTER P WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01A6,Ʀ,LATIN LETTER YR,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01A7,Ƨ,LATIN CAPITAL LETTER TONE TWO,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01A9,Ʃ,LATIN CAPITAL LETTER ESH,Composição Unicode com base ornamental e sinais da base DejaVu
U+01AC,Ƭ,LATIN CAPITAL LETTER T WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01AE,Ʈ,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01AF,Ư,LATIN CAPITAL LETTER U WITH HORN,Composição Unicode com base ornamental e sinais da base DejaVu
U+01B1,Ʊ,LATIN CAPITAL LETTER UPSILON,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01B2,Ʋ,LATIN CAPITAL LETTER V WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01B3,Ƴ,LATIN CAPITAL LETTER Y WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01B5,Ƶ,LATIN CAPITAL LETTER Z WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01B7,Ʒ,LATIN CAPITAL LETTER EZH,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01B8,Ƹ,LATIN CAPITAL LETTER EZH REVERSED,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01BC,Ƽ,LATIN CAPITAL LETTER TONE FIVE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01C4,Ǆ,LATIN CAPITAL LETTER DZ WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01C5,ǅ,LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01C7,Ǉ,LATIN CAPITAL LETTER LJ,Composição Unicode com base ornamental e sinais da base DejaVu
U+01C8,ǈ,LATIN CAPITAL LETTER L WITH SMALL LETTER J,Composição Unicode com base ornamental e sinais da base DejaVu
U+01CA,Ǌ,LATIN CAPITAL LETTER NJ,Composição Unicode com base ornamental e sinais da base DejaVu
U+01CB,ǋ,LATIN CAPITAL LETTER N WITH SMALL LETTER J,Composição Unicode com base ornamental e sinais da base DejaVu
U+01CD,Ǎ,LATIN CAPITAL LETTER A WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01CF,Ǐ,LATIN CAPITAL LETTER I WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01D1,Ǒ,LATIN CAPITAL LETTER O WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01D3,Ǔ,LATIN CAPITAL LETTER U WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
